,Psicológica,Física,Económica,Sexual,Laboral,Institucional,En línea,Años,Ambito,Jerárquico
0,1,0,1,0,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
1,0,0,1,0,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
2,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
3,1,0,1,1,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
4,1,1,1,1,0,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",1
5,1,0,0,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
6,1,0,1,0,0,1,1,Más de 20 años.,Público y privado,0
7,1,0,0,0,0,1,0,De 6 a 10 años.,Público y privado,0
8,1,0,0,0,0,0,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
9,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
10,0,0,0,1,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
11,1,0,1,0,1,1,0,De 11 a 15 años.,Público y privado,0
12,1,0,0,0,0,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
13,1,1,1,1,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
14,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
15,1,0,1,0,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
16,1,0,1,0,0,1,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
17,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
18,1,0,1,1,0,1,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
19,0,0,1,0,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
20,1,0,1,1,0,1,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
21,1,0,0,1,0,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
22,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",1
23,1,0,0,0,0,0,1,De 0 a 5 años.,Público y privado,0
24,0,0,1,1,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
25,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
26,1,0,0,0,0,0,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
27,1,0,1,0,1,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",1
28,1,0,0,0,0,0,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
29,1,0,1,1,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
30,1,0,0,1,0,0,1,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",1
31,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
32,1,0,0,0,0,0,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
33,1,0,0,1,0,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
34,1,1,0,0,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",1
35,1,0,1,1,0,0,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
36,1,0,0,0,0,0,0,De 0 a 5 años.,"Público (medios universitarios, nacionales o provinciales)",1
37,1,1,1,1,1,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
38,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
39,1,0,1,0,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
40,1,0,1,1,0,0,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
41,1,0,1,1,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
42,1,0,0,1,1,0,0,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
